yearDay,greg,heb,parasha,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39
172,2027-03-29,20 Adar II,Shmini,Torah 172 · KST § 200 (p. 112) · Lo Taaseh 258–261,צ Tzaddik · צס · set 8 · day 18 of 22,Netzach shebeChesed · shebeHod · day 4 of 49,האא · 26 of 72 · יְדַעְיָה 2 · וִיחֻנֶּךָּ,Winter · 81 of 91 · Shov · F4 letter 12 · Eicha 4:12 · ל,2nd cycle 1 · day 3 of 13 · Hashem,Year-Cycle 5 · day 22 of 55,OC 343–344 · Orach Chaim · 343 of 728,Shmini · D2 · P6 · C4,set 8 · 4/28 · New Grain 1–2,Torah 172 · Zohar II 140–141,§ 200 (p. 112) · Shmini,Lo Taaseh 258–261,LT Bamidbar · Folio 49 · day 200 of 364,Prayer 100 — first half · day 200 of 364,Bava Metzia 3 & 4 · Week 25 · Day 4,Yonah 2 & 3 · Week 25 · Day 4,Tale 1 — The Lost Princess · cycle 14 · day 3 of 13,Sichos HaRan · §172 of 308 · day 172 of 369,OC 343–344 · half-days 343 & 344,Shmini,Rav Pe’alim · Vol II · Even HaEzer 16 · Vol II · Even HaEzer 17,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,New Grain 1–2,Nedarim · 8b · Adar,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 18 · נִדָּה,Class 81 · of 118,Shmini · Day 2,Day 172 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,Tzitzit · Berachot · Milah · set 8 of 14 · day 4 of 28,Niddah 18 · review,Story 200 · Parshat Shmini
173,2027-03-30,21 Adar II,Shmini,Torah 173 · KST § 201 (p. 113) · Lo Taaseh 262–263,ק Kuf · קע · set 8 · day 19 of 22,Hod shebeChesed · shebeHod · day 5 of 49,ירת · 27 of 72 · חָרִם 3 · וִיחֻנֶּךָּ,Winter · 82 of 91 · Shov · F4 letter 13 · Eicha 4:13 · מ,2nd cycle 1 · day 4 of 13 · Hashem,Year-Cycle 5 · day 23 of 55,OC 345–346 · Orach Chaim · 345 of 728,Shmini · D3 · P6 · C4,set 8 · 5/28 · New Grain 3–4,Torah 173 · Zohar II 142–143,§ 201 (p. 113) · Shmini,Lo Taaseh 262–263,LT Bamidbar · Folio 50 · day 201 of 364,Prayer 100 — second half · day 201 of 364,Bava Metzia 5 & 6 · Week 25 · Day 5,Yonah 4 &amp; Micha 1 · Week 25 · Day 5,Tale 1 — The Lost Princess · cycle 14 · day 4 of 13,Sichos HaRan · §173 of 308 · day 173 of 369,OC 345–346 · half-days 345 & 346,Shmini,Rav Pe’alim · Vol II · Even HaEzer 18 · Vol II · Even HaEzer 19,Se’if ו׳ · day 4 of 13,וְהִנֵה ה׳ נִצָב עָלָיו וּמְלֹא כָל הָאָרֶץ כּבוֹדוֹ וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת וָלֵב אִם עוֹבְדוֹ כָּרָאוּי · תניא פרק מא,New Grain 3–4,Nedarim · 8b · Adar,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 19 · נִדָּה,Class 82 · of 118,Shmini · Day 3,Day 173 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 4 of 13,Gate 10 · Gate 11 · Gate 12 · day 4 of 13,Shabbat · Eruvin · Shevitat Asor · set 8 of 14 · day 5 of 28,Niddah 19 · review,Story 201 · Parshat Shmini
174,2027-03-31,22 Adar II,Shmini,Torah 174 · KST § 202 (p. 113) · Lo Taaseh 261–264,ר Reish · רס · set 8 · day 20 of 22,Yesod shebeChesed · shebeHod · day 6 of 49,שאה · 28 of 72 · שְׂעֹרִים 4 · וִיחֻנֶּךָּ,Winter · 83 of 91 · Shov · F4 letter 14 · Eicha 4:14 · נ,2nd cycle 1 · day 5 of 13 · Hashem,Year-Cycle 5 · day 24 of 55,OC 347–348 · Orach Chaim · 347 of 728,Shmini · D4 · P6 · C4,set 8 · 6/28 · Three Year Old Trees 1–2,Torah 174 · Zohar II 144–145,§ 202 (p. 113) · Shmini,Lo Taaseh 261–264,LT Bamidbar · Folio 51 · day 202 of 364,Prayer 101 — first half · day 202 of 364,"Tosefta Bava Kama 10, 11 &amp; Tosefta Bava Metzia 1, 2 · Week 25 · Day 6",Micha 2 & 3 · Week 25 · Day 6,Tale 1 — The Lost Princess · cycle 14 · day 5 of 13,Sichos HaRan · §174 of 308 · day 174 of 369,OC 347–348 · half-days 347 & 348,Shmini,Rav Pe’alim · Vol II · Even HaEzer 20 · Vol II · Even HaEzer 21,Se’if ז׳ · day 5 of 13,בְּרֵאשִׁית בָּרָא אֶלֹקִים אֵת הַשָׁמַיִם וְאֵת הָאָרֶץ · בראשית א:א,Three Year Old Trees 1–2,Nedarim · 8b · Adar,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 20 · נִדָּה,Class 83 · of 118,Shmini · Day 4,Day 174 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 5 of 13,Gate 13 · Gate 14 · Gate 15 · day 5 of 13,"Shevitat Yom Tov · Chametz u'Matzah · Shofar, Sukkah v'Lul · set 8 of 14 · day 6 of 28",Niddah 20 · review,Story 202 · Parshat Shmini
175,2027-04-01,23 Adar II,Shmini,Torah 175 · KST § 203 (p. 114) · Lo Taaseh 265–266,ש Shin · שע · set 8 · day 21 of 22,Malchut shebeChesed · shebeHod · day 7 of 49,ריי · 29 of 72 · מַלְכִּיָּה 5 · וִיחֻנֶּךָּ,Winter · 84 of 91 · Shov · F4 letter 15 · Eicha 4:15 · ס,2nd cycle 1 · day 6 of 13 · Hashem,Year-Cycle 5 · day 25 of 55,OC 349–350 · Orach Chaim · 349 of 728,Shmini · D5 · P6 · C4,set 8 · 7/28 · Three Year Old Trees 3–4,Torah 175 · Zohar II 146–149,§ 203 (p. 114) · Shmini,Lo Taaseh 265–266,LT Bamidbar · Folio 52 · day 203 of 364,Prayer 101 — second half · day 203 of 364,"Tosefta Bava Metzia 3, 4, 5, 6 · Week 25 · Day 7",Micha 4 & 5 · Week 25 · Day 7,Tale 1 — The Lost Princess · cycle 14 · day 6 of 13,Sichos HaRan · §175 of 308 · day 175 of 369,OC 349–350 · half-days 349 & 350,Shmini,Rav Pe’alim · Vol II · Even HaEzer 22 · Vol II · Even HaEzer 23,Se’if ח׳ · day 6 of 13,וְשִׁנַנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ · דברים ו:ז,Three Year Old Trees 3–4,Nedarim · 8b · Adar,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 21 · נִדָּה,Class 84 · of 118,Shmini · Day 5,Day 175 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 6 of 13,Gate 16 · Gate 17 · Gate 18 · day 6 of 13,Shekalim · Kiddush HaChodesh · Ta'aniyot · set 8 of 14 · day 7 of 28,Niddah 21 · review,Story 203 · Parshat Shmini
176,2027-04-02,24 Adar II,Shmini,Torah 176 · KST § 204 (p. 114) · Lo Taaseh 264–267,ת Tav · תס · set 8 · day 22 of 22,Chesed shebeGevurah · shebeHod · day 8 of 49,אום · 30 of 72 · מִיָּמִן 6 · וִיחֻנֶּךָּ,Winter · 85 of 91 · Shov · F4 letter 16 · Eicha 4:16 · פ,2nd cycle 1 · day 7 of 13 · Hashem,Year-Cycle 5 · day 26 of 55,OC 351–352 · Orach Chaim · 351 of 728,Shmini · D6 · P6 · C4,set 8 · 8/28 · Three Year Old Trees 5 · Mixed Crops 1,Torah 176 · Zohar II 150–151,§ 204 (p. 114) · Shmini,Lo Taaseh 264–267,LT Bamidbar · Folio 53 · day 204 of 364,Prayer 102 — first half · day 204 of 364,Bava Metzia 7 & 8 · Week 26 · Day 1,Micha 6 & 7 · Week 26 · Day 1,Tale 1 — The Lost Princess · cycle 14 · day 7 of 13,Sichos HaRan · §176 of 308 · day 176 of 369,OC 351–352 · half-days 351 & 352,Shmini,Ben Ish Chai · Halachot,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Three Year Old Trees 5 · Mixed Crops 1,Nedarim · 8b · Adar,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 22 · נִדָּה,Class 85 · of 118,Shmini · Day 6,Day 176 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Megillah v'Chanukah · Ishut · Geirushin · set 8 of 14 · day 8 of 28,Niddah 22 · review,Story 204 · Parshat Shmini
177,2027-04-03,25 Adar II,Shmini,Torah 177 · KST § 205–206 (p. 114) · Lo Taaseh 268–269,א Alef · פא · set 9 · day 1 of 22,Gevurah shebeGevurah · shebeHod · day 9 of 49,לכב · 31 of 72 · הַקּוֹץ 7 · וִיחֻנֶּךָּ,Winter · 86 of 91 · Shov · F4 letter 17 · Eicha 4:17 · ע,2nd cycle 1 · day 8 of 13 · Hashem,Year-Cycle 5 · day 27 of 55,OC 353–354 · Orach Chaim · 353 of 728,Shmini · D7 · P6 · C4,set 8 · 9/28 · Mixed Crops 2–3 · Shmini,Torah 177 · Zohar II 152–153,§ 205–206 (p. 114) · Shmini,Lo Taaseh 268–269,LT Bamidbar · Folio 54 · day 205 of 364,Prayer 102 — second half · day 205 of 364,Bava Metzia 9 & 10 · Week 26 · Day 2,Nachum 1 & 2 · Week 26 · Day 2,Tale 1 — The Lost Princess · cycle 14 · day 8 of 13,Sichos HaRan · §177 of 308 · day 177 of 369,OC 353–354 · half-days 353 & 354,Shmini,Ben Ish Chai · Drash · Shmini · Drash,Se’if י׳ · day 8 of 13,וְאָהַבְתָּ לְרֵעַךָ כָּמוֹךָ – רַבִּי עַקִיבָא אוֹמֵר זֶה כְּלָל גָדוֹל בַּתּוֹרָה · ויקרא יט:יח,Mixed Crops 2–3,Nazir · 9a · Nisan / Pesach / Omer,Making a Living — 3/4 · Making a Living — 4/4,Story 51 · 52 · Shmini,Niddah 23 · נִדָּה,Class 86 · of 118,Sefer Yetzirah · 3:6,Day 177 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 8 of 13,Gate 22 · Gate 23 · Gate 24 · day 8 of 13,Yibum v'Chalitzah · Na'arah Betulah · Sotah · set 8 of 14 · day 9 of 28,Niddah 23 · review,Story 205 · Parshat Shmini
178,2027-04-04,26 Adar II,Tazria,Torah 178 · KST § 207 (p. 116) · Lo Taaseh 267–270,ב Bet · צב · set 9 · day 2 of 22,Tiferet shebeGevurah · shebeHod · day 10 of 49,ושר · 32 of 72 · אֲבִיָּה 8 · וִיחֻנֶּךָּ,Winter · 87 of 91 · Shov · F4 letter 18 · Eicha 4:18 · צ,2nd cycle 1 · day 9 of 13 · Hashem,Year-Cycle 5 · day 28 of 55,OC 355–356 · Orach Chaim · 355 of 728,Tazria · D1 · P7 · C4,set 8 · 10/28 · Mixed Breeding 1–2,Torah 178 · Zohar II 154–155,§ 207 (p. 116) · Tazria,Lo Taaseh 267–270,LT Bamidbar · Folio 55 · day 206 of 364,Prayer 103 — first half · day 206 of 364,Bava Batra 1 & 2 · Week 26 · Day 3,Nachum 3 &amp; Habakkuk 1 · Week 26 · Day 3,Tale 1 — The Lost Princess · cycle 14 · day 9 of 13,Sichos HaRan · §178 of 308 · day 178 of 369,OC 355–356 · half-days 355 & 356,Tazria,Rav Pe’alim · Vol II · Even HaEzer 24 · Vol II · Even HaEzer 25,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Mixed Breeding 1–2,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 24 · נִדָּה,Class 87 · of 118,Tazria · Day 1,Day 178 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Issurei Biah · Ma'achalot Assurot · Shechitah · set 8 of 14 · day 10 of 28,Niddah 24 · review,Story 206 · Parshat Tazria
179,2027-04-05,27 Adar II,Tazria,Torah 179 · KST § 208 (p. 118) · Lo Taaseh 271–272,ג Gimmel · פג · set 9 · day 3 of 22,Netzach shebeGevurah · shebeHod · day 11 of 49,יחו · 33 of 72 · יֵשׁוּעַ 9 · וִיחֻנֶּךָּ,Winter · 88 of 91 · Shov · F4 letter 19 · Eicha 4:19 · ק,2nd cycle 1 · day 10 of 13 · Hashem,Year-Cycle 5 · day 29 of 55,OC 357–358 · Orach Chaim · 357 of 728,Tazria · D2 · P7 · C4,set 8 · 11/28 · Mixed Breeding 3–4,Torah 179 · Zohar II 156–157,§ 208 (p. 118) · Tazria,Lo Taaseh 271–272,LT Bamidbar · Folio 56 · day 207 of 364,Prayer 103 — second half · day 207 of 364,Bava Batra 3 & 4 · Week 26 · Day 4,Habakkuk 2 & 3 · Week 26 · Day 4,Tale 1 — The Lost Princess · cycle 14 · day 10 of 13,Sichos HaRan · §179 of 308 · day 179 of 369,OC 357–358 · half-days 357 & 358,Tazria,Rav Pe’alim · Vol II · Even HaEzer 26 · Vol II · Even HaEzer 27,Se’if י״ב · day 10 of 13,יִשְׂמַח יִשְׂרָאֵל בְּעוֹשָׂיו פֵּירוּש שֶׁכָּל מִי שֶׁהוּא מִזֶרַע יִשְׂרָאֵל יֵשׁ לוֹ לִשְׂמוֹחַ בְּשִׂמְחַת ה׳ אַשֶׁר שָׂשׂ וְשָׂמֵחַ בְּדִירָתוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Mixed Breeding 3–4,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 25 · נִדָּה,Class 88 · of 118,Tazria · Day 2,Day 179 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 10 of 13,Gate 28 · Gate 29 · Gate 30 · day 10 of 13,Shevuot · Nedarim · Nezirut · set 8 of 14 · day 11 of 28,Niddah 25 · review,Story 207 · Parshat Tazria
180,2027-04-06,28 Adar II,Tazria,Torah 180 · KST § 209 (p. 119) · Lo Taaseh 270–273,ד Dalet · צד · set 9 · day 4 of 22,Hod shebeGevurah · shebeHod · day 12 of 49,להח · 34 of 72 · שְׁכַנְיָהוּ 10 · וִיחֻנֶּךָּ,Winter · 89 of 91 · Shov · F4 letter 20 · Eicha 4:20 · ר,2nd cycle 1 · day 11 of 13 · Hashem,Year-Cycle 5 · day 30 of 55,OC 359–360 · Orach Chaim · 359 of 728,Tazria · D3 · P7 · C4,set 8 · 12/28 · Fobidden Fabric Blends 1–2,Torah 180 · Zohar II 158–159,§ 209 (p. 119) · Tazria,Lo Taaseh 270–273,LT Bamidbar · Folio 57 · day 208 of 364,Prayer 104 — first half · day 208 of 364,Bava Batra 5 & 6 · Week 26 · Day 5,Tzefanaiah 1 & 2 · Week 26 · Day 5,Tale 1 — The Lost Princess · cycle 14 · day 11 of 13,Sichos HaRan · §180 of 308 · day 180 of 369,OC 359–360 · half-days 359 & 360,Tazria,Rav Pe’alim · Vol II · Even HaEzer 28 · Vol II · Even HaEzer 29,Overview · day 11 of 13,"All twelve · Mivtza Chinuch, 5736",Fobidden Fabric Blends 1–2,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 26 · נִדָּה,Class 89 · of 118,Tazria · Day 3,Day 180 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 11 of 13,Gate 31 · Gate 32 · Ohr Ne’erav I · day 11 of 13,Erchin v'Charamin · Kilayim · Matnot Aniyim · set 8 of 14 · day 12 of 28,Niddah 26 · review,Story 208 · Parshat Tazria
181,2027-04-07,29 Adar II,Tazria,Torah 181 · KST § 210 (p. 119) · Lo Taaseh 274–275,ה Heh · פה · set 9 · day 5 of 22,Yesod shebeGevurah · shebeHod · day 13 of 49,כוק · 35 of 72 · אֶלְיָשִׁיב 11 · וִיחֻנֶּךָּ,Winter · 90 of 91 · Shov · F4 letter 21 · Eicha 4:21 · ש,2nd cycle 1 · day 12 of 13 · Hashem,Year-Cycle 5 · day 31 of 55,OC 361–362 · Orach Chaim · 361 of 728,Tazria · D4 · P7 · C4,set 8 · 13/28 · Fobidden Fabric Blends 3–4,Torah 181 · Zohar II 160–161,§ 210 (p. 119) · Tazria,Lo Taaseh 274–275,LT Bamidbar · Folio 58 · day 209 of 364,Prayer 104 — second half · day 209 of 364,"Tosefta Bava Metzia 7, 8, 9, 10, 11 &amp; Tosefta Bava Batra 1, 2, 3 · Week 26 · Day 6",Tzefanaiah 3 &amp; Chaggai 1 · Week 26 · Day 6,Tale 1 — The Lost Princess · cycle 14 · day 12 of 13,Sichos HaRan · §181 of 308 · day 181 of 369,OC 361–362 · half-days 361 & 362,Tazria,Rav Pe’alim · Vol II · Even HaEzer 30 · Vol II · Even HaEzer 31,Se’if א׳ · day 12 of 13,תּוֹרָה צִוָה לָנוּ מֹשֶׁה מוֹרָשָׁה קְהִלַת יַעֲקֹב · דברים לג:ד,Fobidden Fabric Blends 3–4,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 27 · נִדָּה,Class 90 · of 118,Tazria · Day 4,Day 181 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 12 of 13,Ohr Ne’erav II · Ohr Ne’erav III · Ohr Ne’erav IV · day 12 of 13,Terumot · Ma'aserot · Ma'aser Sheni v'Neta Revai · set 8 of 14 · day 13 of 28,Niddah 27 · review,Story 209 · Parshat Tazria
182,2027-04-08,1 Nisan,Tazria,Torah 182 · KST § 211 (p. 120) · Lo Taaseh 273–276,ו Vav · צו · set 9 · day 6 of 22,Malchut shebeGevurah · shebeHod · day 14 of 49,מנד · 36 of 72 · יָקִים 12 · וִיחֻנֶּךָּ,Winter · 91 of 91 · Shov · F4 letter 22 · Eicha 4:22 · ת,2nd cycle 1 · day 13 of 13 · Hashem,Year-Cycle 5 · day 32 of 55,OC 363–364 · Orach Chaim · 363 of 728,Tazria · D5 · P7 · C4,set 8 · 14/28 · Redeeming the Firstborn 1–2,Torah 182 · Zohar II 162–165,§ 211 (p. 120) · Tazria,Lo Taaseh 273–276,LT Bamidbar · Folio 59 · day 210 of 364,Prayer 105 — first half · day 210 of 364,"Tosefta Bava Batra 4, 5, 6, 7, 8, 9, 10, 11 · Week 26 · Day 7",Chaggai 2 &amp; Zechariah 1 · Week 26 · Day 7,Tale 1 — The Lost Princess · cycle 14 · day 13 of 13,Sichos HaRan · §182 of 308 · day 182 of 369,OC 363–364 · half-days 363 & 364,Tazria,Rav Pe’alim · Vol II · Even HaEzer 32 · Vol II · Even HaEzer 33,Se’if ב׳ · day 13 of 13,שְׁמַע יִשְׂרָאֵל ה׳ אֶלֹקֵינוּ ה׳ אֶחָד · דברים ו:ד,Redeeming the Firstborn 1–2,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 28 · נִדָּה,Class 91 · of 118,Tazria · Day 5,Day 182 · of 369,Chapter 1 · cycle 14,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 13 of 13,Ohr Ne’erav V · Ohr Ne’erav VI · Ohr Ne’erav VII · day 13 of 13,Bikkurim · Shemitah v'Yovel · Beit HaBechirah · set 8 of 14 · day 14 of 28,Niddah 28 · review,Story 210 · Parshat Tazria
183,2027-04-09,2 Nisan,Tazria,Torah 183 · KST § 212 (p. 120) · Lo Taaseh 277–278,ז Zayin · פז · set 9 · day 7 of 22,Chesed shebeTiferet · shebeHod · day 15 of 49,אני · 37 of 72 · חֻפָּה 13 · וִיחֻנֶּךָּ,Spring · 1 of 91 · Ratzo · F1 letter 1 · Eicha 1:1 · א,2nd cycle 2 · day 1 of 13 · Hashem,Year-Cycle 5 · day 33 of 55,OC 365–366 · Orach Chaim · 365 of 728,Tazria · D6 · P7 · C4,set 8 · 15/28 · Redeeming the Firstborn 3–4,Torah 183 · Zohar II 166–167,§ 212 (p. 120) · Tazria,Lo Taaseh 277–278,LT Bamidbar · Folio 60 · day 211 of 364,Prayer 105 — second half · day 211 of 364,Bava Batra 7 & 8 · Week 27 · Day 1,Zechariah 2 & 3 · Week 27 · Day 1,Tale 2 — The Emperor and the King · cycle 15 · day 1 of 13,Sichos HaRan · §183 of 308 · day 183 of 369,OC 365–366 · half-days 365 & 366,Tazria,Ben Ish Chai · Halachot,Se’if ג׳ · day 1 of 13,"בְּכָל דוֹר וָדוֹר חַיָיב אָדָם לִרְאוֹת אֶת עַצְמוֹ כְּאִלוּ הוּא יָצָא מִמִצְרָיִם · פסחים קטז,ב",Redeeming the Firstborn 3–4,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 29 · נִדָּה,Class 92 · of 118,Tazria · Day 6,Day 183 · of 369,Chapter 2 · cycle 15,The Garden of Peace · cycle 2 of 13,Phase 2 · day 1 of 13,Gate 1 · Gate 2 · Gate 3 · day 1 of 13,Klei HaMikdash · Biat HaMikdash · Issurei Mizbe'ach · set 8 of 14 · day 15 of 28,Niddah 29 · review,Story 211 · Parshat Tazria
184,2027-04-10,3 Nisan,Tazria,Torah 184 · KST § 213–214 (p. 121) · Lo Taaseh 276–279,ח Chet · צח · set 9 · day 8 of 22,Gevurah shebeTiferet · shebeHod · day 16 of 49,חעם · 38 of 72 · יֶשֶׁבְאָב 14 · וִיחֻנֶּךָּ,Spring · 2 of 91 · Ratzo · F1 letter 2 · Eicha 1:2 · ב,2nd cycle 2 · day 2 of 13 · Hashem,Year-Cycle 5 · day 34 of 55,OC 367–368 · Orach Chaim · 367 of 728,Tazria · D7 · P7 · C4,set 8 · 16/28 · Redeeming the Firstborn 5 · Firstborn Kosher Animals 1 · Tazria,Torah 184 · Zohar II 168–169,§ 213–214 (p. 121) · Tazria,Lo Taaseh 276–279,LT Bamidbar · Folio 61 · day 212 of 364,Prayer 106 — first half · day 212 of 364,Bava Batra 9 & 10 · Week 27 · Day 2,Zechariah 4 & 5 · Week 27 · Day 2,Tale 2 — The Emperor and the King · cycle 15 · day 2 of 13,Sichos HaRan · §184 of 308 · day 184 of 369,OC 367–368 · half-days 367 & 368,Tazria,Ben Ish Chai · Drash · Tazria · Drash,Se’if ד׳ · day 2 of 13,"כָּל יִשְׂרָאֵל יֵשׁ לָהֶם חֵלֶק לְעוֹלָם הַבָּא שֶׁנֶאֱמַר וְעַמֵךְ כּוּלָם צַדִיקִים לְעוֹלָם יִירְשׁוּ אָרֶץ נֵצֶר מַטָעַי מַעֲשֵׂה יָדַי לְהִתְפָּאֵר · סנהדרין צ,א",Redeeming the Firstborn 5 · Firstborn Kosher Animals 1,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 1/5 · Treatment of Others — 2/5,Story 53 · 54 · Tazria,Niddah 30 · נִדָּה,Class 93 · of 118,Sefer Yetzirah · 3:7,Day 184 · of 369,Chapter 2 · cycle 15,The Garden of Peace · cycle 2 of 13,Phase 2 · day 2 of 13,Gate 4 · Gate 5 · Gate 6 · day 2 of 13,Ma'aseh HaKorbanot · Temidin u'Musafin · Pesulei HaMukdash · set 8 of 14 · day 16 of 28,Niddah 30 · review,Story 212 · Parshat Tazria
185,2027-04-11,4 Nisan,Metzora,Torah 185 · KST § 215 (p. 122) · Lo Taaseh 280–281,ט Tet · פט · set 9 · day 9 of 22,Tiferet shebeTiferet · shebeHod · day 17 of 49,רעה · 39 of 72 · בִּלְגָּה 15 · וִיחֻנֶּךָּ,Spring · 3 of 91 · Ratzo · F1 letter 3 · Eicha 1:3 · ג,2nd cycle 2 · day 3 of 13 · Hashem,Year-Cycle 5 · day 35 of 55,OC 369–370 · Orach Chaim · 369 of 728,Metzora · D1 · P8 · C4,set 8 · 17/28 · Firstborn Kosher Animals 2–3,Torah 185 · Zohar II 170–171,§ 215 (p. 122) · Metzora,Lo Taaseh 280–281,LT Bamidbar · Folio 62 · day 213 of 364,Prayer 106 — second half · day 213 of 364,Sanhedrin 1 & 2 · Week 27 · Day 3,Zechariah 6 & 7 · Week 27 · Day 3,Tale 2 — The Emperor and the King · cycle 15 · day 3 of 13,Sichos HaRan · §185 of 308 · day 185 of 369,OC 369–370 · half-days 369 & 370,Metzora,Rav Pe’alim · Vol II · Even HaEzer 34 · Vol II · Choshen Mishpat 1,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,Firstborn Kosher Animals 2–3,Nazir · 9a · Nisan / Pesach / Omer,Treatment of Others — 3/5 · Treatment of Others — 4/5,Story 55 · 56 · Metzora,Niddah 31 · נִדָּה,Class 94 · of 118,Metzora · Day 1,Day 185 · of 369,Chapter 2 · cycle 15,The Garden of Peace · cycle 2 of 13,Phase 2 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,Avodat Yom HaKippurim · Me'ilah · Korban Pesach · set 8 of 14 · day 17 of 28,Niddah 31 · review,Story 213 · Parshat Metzora
